Tipologia,Marca,Dettaglio,Formato,Heksher,S,Note
Acqua gassata,Rocchetta,Brio Blu,,OU,P,
Acqua gassata,Tavina,,,OU,P,
Acqua naturale,Rocchetta,,,OU,P,
Acqua naturale,Uliveto,,,OU,P,
Acqua naturale,Tavina,,,OU,P,
Acqua naturale,Ferrarelle,,,OU,P,
Estratti,Tassoni,Cedrata Tassoni,,KLBD,P,Heksher sulla confezione
Estratti,Tassoni,Fior di Sambuco,,KLBD,P,Heksher sulla confezione
Estratti,Tassoni,Tonica superfine,,KLBD,P,Heksher sulla confezione
Infuso,Arizona,Watermelon,,OU,P,
Infuso,Arizona,Mucho Mango,,OU,P,
Infuso,Arizona,Pomegranate and Green tea,,OU,P,
Infuso,Arizona,Blueberry White Tea,,OU,P,
Infuso,Arizona,Green Tea with honey and peach,,OU,P,
Infuso,Arizona,Green Tea with honey,,OU,P,
Succo di frutta,Bravo Rauch,Arancia,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Bravo Rauch,Arancia Rossa,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Bravo Rauch,ACE,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Bravo Rauch,Amarena,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Bravo Rauch,Ananas,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Bravo Rauch,Ananas Cocco,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Bravo Rauch,Senza Zucchero - Ananas,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Bravo Rauch,Senza Zucchero - Arancia,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Bravo Rauch,Cranberry,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Bravo Rauch,Fragola,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Bravo Rauch,Mela,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Bravo Rauch,Mela verde,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Bravo Rauch,Mirtillo,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Albicocca,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Amarena,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Ananas,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Ananas Cocco,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Arancia chiara,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Arancia Mango,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Cranberry,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Lampone,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Lychee,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Mandarino,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Mango,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Mela,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Mela Bio,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Melagrana,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Melone,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Mirtillo,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Passion fruit,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Pera,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Pesca,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Pomodoro,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Happy Day,Pompelmo rosa,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,ACE,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Albicocca,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Albicocca BIO,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Ananas,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Ananas Cocco,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Arancia,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Arancia Bio,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Arancia Rossa,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Banana,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Cranberry,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Mango,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Mela,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Mela Bio,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Mirtillo,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Pera,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Pesca,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Pomodoro,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Pompelmo,,Rav S.A. Schlessinger - Strasbourg,P,
Succo di frutta,Rauch,Ribes,,Rav S.A. Schlessinger - Strasbourg,P,
Sciroppo,Fabbri 1905,Inventabibite Menta,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Inventabibite Menta,560 ml PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Inventabibite Menta Bio,560 ml PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixybar Amaretto,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixybar Banana,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixybar Caramello,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixybar Cioccolato,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixybar Fragola,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixybar Glacial Mint,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixybar Kiwi,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixybar Lime,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixybar Limone,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixybar Menta Alpina,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixybar Nocciola,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixybar Orzata,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixybar Papaya,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixybar Tropical Blu,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixybar Vaniglia,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixyfree Caramello,1000 ml,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixyfree Nocciola,1000 ml,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Mixyfree Vaniglia,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Orzata,1 lt PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Sciroppo Cedrata,560 ml PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Sciroppo Fragola,560 ml PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Sciroppo Lemonkiwi,560 ml PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Sciroppo Limone,560 ml PET,Star K,P,Heksher sulla confezione
Sciroppo,Fabbri 1905,Sciroppo Menta piperita,560 ml PET,Star K,P,Heksher sulla confezione
Anacardo,Alpro,Cashew Drink Original,1l; 500ml,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Avena,Alpro,Oat Almond barista,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Cocco,Alpro,Coconut Almond Drink,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Cocco,Alpro,Coconut Choco Drink,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Cocco,Alpro,Coconut Drink with Rice,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Mandorla,Alpro,Almond Drink Dark Chocolate Flavour,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Mandorla,Alpro,Almond Drink for Professionals,1l,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Mandorla,Alpro,Almond Drink Roasted Original,1l,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Mandorla,Alpro,Almond Drink Roasted Unsweetened,1l,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Mandorla,Alpro,Almond Drink unsweetened unroasted,1l,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Mandorla,Alpro,Almond Drink Vanilla Flavour,1l; 200ml,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Nocciola,Alpro,Hazelnut Drink Original,1l,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Riso,Alpro,Rice Drink Light,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Riso,Alpro,Rice Drink Original,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Drink Soya Original Fresh,"1l, 250ml","BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya Growing Up Fresh,1l; 250ml,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya Drink Banana,1l,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya Drink Bio,1l,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya Drink Choco,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya Drink Choco light,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya Drink Junior,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya Drink Light,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya Drink Macchiato,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya Drink Mild,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya Drink Natural,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya Drink Original,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya Drink Red Fruit,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya barista,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya Drink Unsweetened,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya Drink Vanilla,250 ml,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya Drink Vanilla light,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Soya,Alpro,Soya for Professionals,,"BD""TZ Shomrei Hadat-Anversa",P,Il numero di lotto deve iniziare con due lettere (da A a H). Non quello prodotto in Italia.
Avena,Scotti,Avena - Cacao,,Approvato BDM / BDR,P,
Avena,Scotti,Avena Barista,,Approvato BDM / BDR,P,
Riso,Scotti,Chiccolat - Nocciola,,Approvato BDM / BDR,P,
Riso,Scotti,Chiccolat - Quinoa,,Approvato BDM / BDR,P,
Riso,Scotti,Chiccolat - Riso,,Approvato BDM / BDR,P,
Riso,Scotti,Chiccolat - Riso con cacao,,Approvato BDM / BDR,P,
Riso,Scotti,Chiccolat - Riso con cocco,,Approvato BDM / BDR,P,
Riso,Scotti,Chiccolat - Riso integrale,,Approvato BDM / BDR,P,
Mandorla,Scotti,Mandorla senza zucchero,,Approvato BDM / BDR,P,
Avena,The Bridge / Viamia,Bevanda di Avena - Barista,1l,KLBD,P,
Avena,The Bridge / Viamia,Bevanda di Avena - Gluten Free,1l,KLBD,P,
Avena,The Bridge / Viamia,Bevanda di Avena - Natural,1l; 500ml,KLBD,P,
Avena,The Bridge / Viamia,Bevanda di Avena con calcio,1l,KLBD,P,
Avena,The Bridge / Viamia,Bevanda di Avena e Cacao,1l,KLBD,P,
Cocco,The Bridge / Viamia,Bevanda di Cocco,1l,KLBD,P,
Grano Saraceno,The Bridge / Viamia,Bevanda di Grano Saraceno,1l,KLBD,P,
Mandorla,The Bridge / Viamia,Bevanda di Mandorla 3%,,KLBD,P,
Mandorla,The Bridge / Viamia,Bevanda di Mandorla - senza zucchero,,KLBD,P,
Mandorla,The Bridge / Viamia,Bevanda di Mandorla original,,KLBD,P,
Mandorla,The Bridge / Viamia,Bevanda pura di Mandorla 6% senza zucchero,,KLBD,P,
Noce,The Bridge / Viamia,Bevanda di Noce Brasiliana,,KLBD,P,
Quinoa,The Bridge / Viamia,Bevanda di Quinoa,,KLBD,P,
Riso,The Bridge / Viamia,Bevanda di Riso - Natural,1l; 500ml,KLBD,P,
Riso,The Bridge / Viamia,Bevanda di Riso con Cacao,1l; 250ml,KLBD,P,
Riso,The Bridge / Viamia,Bevanda di Riso con calcio,1l,KLBD,P,
Riso,The Bridge / Viamia,Bevanda di Riso con Vaniglia,1l,KLBD,P,
Riso,The Bridge / Viamia,Bevanda di Riso e Cocco,"1l, 250ml",KLBD,P,
Riso,The Bridge / Viamia,Bevanda di Riso e Mandorla,1l; 250ml,KLBD,P,
Riso,The Bridge / Viamia,Bevanda di Riso e Nocciola,1l,KLBD,P,
Riso,The Bridge / Viamia,Bevanda di Riso integrale,1l,KLBD,P,
Soya,The Bridge / Viamia,Bevanda di Soya barista,,KLBD,P,
Soya,The Bridge / Viamia,Bevanda soia,1l,KLBD,P,
Soya,The Bridge / Viamia,Bevanda soia con Cacao,1l,KLBD,P,
Soya,The Bridge / Viamia,Bevanda di Soya con Vaniglia,1l,KLBD,P,
Spelta,The Bridge / Viamia,Bevanda di Spelta,,KLBD,P,
Mandorla,Mand'or,Bevanda alle Mandorle,,KF,P,Heksher sulla confezione
Mandorla,Mand'or,Bevanda alle Mandorle Nocciole e Pistacchio,,KF,P,Heksher sulla confezione
Mandorla,Mand'or,Bevanda Mandorle Bio,,KF,P,Heksher sulla confezione
Mandorla,Mand'or,Bevanda Mandorla Light + Calcio,,KF,P,Heksher sulla confezione
Mandorla,Orasì,Bevanda alle mandorle con vitamine e calcio,,OU,P,Heksher sulla confezione
Mandorla,Orasì,Bevanda alle Mandorle,,OU,P,Heksher sulla confezione
Nocciola,Orasì,Bevanda alla nocciola con vitamine e calcio,1l,OU,P,Heksher sulla confezione
Nocciola,Orasì,Bevanda alla Nocciola,1l,OU,P,Heksher sulla confezione
Noce,Orasì,Bevanda alla Noce,,OU,P,Heksher sulla confezione
Riso,Orasì,Bevanda di Riso,,OU,P,Heksher sulla confezione
Riso,Orasì,Rugiada di riso,,OU,P,Heksher sulla confezione
Riso,Orasì,Rugiada di riso - Melograno e bacche di Goji,,OU,P,Heksher sulla confezione
Riso,Orasì,Rugiada di riso / Frutto della passione e curcuma,,OU,P,Heksher sulla confezione
Riso,Orasì,Rugiada di riso / Limone e zenzero,,OU,P,Heksher sulla confezione
Soya,Orasì,Bevanda di soia e cacao,,OU,P,Heksher sulla confezione
Soya,Orasì,Bevanda di soia e vaniglia,,OU,P,Heksher sulla confezione
Soya,Orasì,Bevanda di Soia,,OU,P,Heksher sulla confezione
Soya,Nutrimy Bio,Bevanda vegetale a base di Soia,,KF,P,
Birra,Asahi,Super Dry,,KF,P,Lista liquori CRC; Lista liquori Star K
Birra,Asahi,Black,,OU,P,Lista liquori CRC; Lista liquori Star K
Birra,Asahi,Select,,OK,P,Lista liquori CRC; Lista liquori Star K
Birra,Corona,Extra,,OU,P,Lista liquori CRC; Lista liquori Star K
Birra,Corona,Light,,OU,P,Lista liquori CRC; Lista liquori Star K
Birra,Corona,Cerveza,,OU,P,Lista liquori CRC; Lista liquori Star K
Birra,Guinness,Stout,,,P,Lista liquori Star K; Approvato da KLBD
Birra,Hacker Pshorr,Munich Gold,,,P,Lista liquori CRC; Lista liquori Star K
Birra,Hacker Pshorr,Original Oktoberfest,,,P,Lista liquori CRC; Lista liquori Star K
Birra,Hacker Pshorr,Weisse,,,P,Lista liquori CRC; Lista liquori Star K
Birra,Heineken,Premium Quality,,,P,Lista liquori CRC; Lista liquori Star K
Birra,Hoegaarden,Blanche,,,P,
Birra,Maccabee,Lager,,,P,Heksher sulla confezione
Birra,Moretti,L'autentica,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
American Whiskey / Bourbon,Jack Daniels,Black label,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
American Whiskey / Bourbon,Jack Daniels,Gentleman Jack,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
American Whiskey / Bourbon,Jim Beam,Whiskey,,,P,
American Whiskey / Bourbon,Jim Beam,Apple,,,P,
American Whiskey / Bourbon,Jim Beam,Honey,,,P,
American Whiskey / Bourbon,Jim Beam,Kentucky Fire,,OU,P,
American Whiskey / Bourbon,Jim Beam,Maple,,OU,P,
American Whiskey / Bourbon,Jim Beam,Red Stag Black Cherry,,OU,P,
American Whiskey / Bourbon,Jim Beam,Red Stag Hardcore cider,,OU,P,
American Whiskey / Bourbon,Jim Beam,Red stag Honey tea,,OU,P,
American Whiskey / Bourbon,Jim Beam,Red stag spiced,,OU,P,
American Whiskey / Bourbon,Jim Beam,Vanilla,,OU,P,
American Whiskey / Bourbon,Wild Turkey,Bourbon - Unflavored,,BIR - BD'TZ Igud Rabbonim - Manchester,P,Lista liquori CRC; Lista liquori Star K
Gin,Bombay,Original,,BIR - BD'TZ Igud Rabbonim - Manchester,P,
Gin,Bombay,Star of Bombay,,BIR - BD'TZ Igud Rabbonim - Manchester,P,
Gin,Bombay,Bombay Sapphire east gin,,BIR - BD'TZ Igud Rabbonim - Manchester,P,
Gin,Bombay,Bombay Sapphire London Dry Gin,,BIR - BD'TZ Igud Rabbonim - Manchester,P,
Gin,Gordon's,Gordon's,,OU,P,
Gin,Gordon's,London Dry Gin,,OU,P,
Gin,Hendrick's,Gin,,OU,P,Lista liquori CRC; Lista liquori Star K
Whisky / Scotch,Ardbeg,10 years,,OU,P,
Whisky / Scotch,Bushmills,Red Bush,,OU,P,Lista liquori CRC; Lista liquori Star K
Whisky / Scotch,Chivas Regal,18,,OU,P,Lista liquori Star K
Whisky / Scotch,Chivas Regal,25,,,P,Lista liquori Star K
Whisky / Scotch,Chivas Regal,Brothers Blend,,,P,Lista liquori Star K
Whisky / Scotch,Chivas Regal,12,,,P,Lista liquori Star K
Whisky / Scotch,Glen Grant,12,,,P,Lista liquori Star K
Whisky / Scotch,Glen Grant,10,,,P,Lista liquori Star K
Whisky / Scotch,Glen Grant,16,,,P,Lista liquori Star K
Whisky / Scotch,Glen Grant,170th Anniversary,,,P,Lista liquori Star K
Whisky / Scotch,Glen Grant,The major's reserve,,,P,Lista liquori Star K
Whisky / Scotch,Glencadam,18 yr,,,P,Lista liquori Star K
Whisky / Scotch,Glencadam,"13 Year Old ""The Reawakening""",,,P,Lista liquori Star K
Whisky / Scotch,Glenlivet,"25 Year Old ""The Remarkable""",,,P,
